세무서명	세무서코드	세무서계좌번호
강남	211	180616
강동	212	180629
강릉	226	150154
강서	109	12027
거창	611	950419
경산	515	42330
경주	505	170176
고양	128	12014
공주	307	80460
광주	408	60639
구로	113	11756
구미	513	905244
군산	401	70399
금정	621	31794
금천	119	14371
김천	510	905257
김해	615	178
김포	234	23760
나주	412	60642
남대구	514	40730
남대문	104	11785
남양주	132	12302
남원	407	70412
남인천	131	110424
노원	217	1562
논산	308	80473
대전	305	80486
도봉	210	11811
동고양	232	23757
동대구	502	40769
동대문	204	11824
동래	607	30481
동수원	135	131157
동안양	138	1591
동울산	620	1601
동작	108	181
동청주	317	2859
마산	608	140672
마포	105	11840
국세청	0	11769
서울청	100	11895
중부청	200	165
목포	411	50144
반포	114	180645
보령	313	930154
부산진	605	30520
부천	130	110246
북광주	409	60671
북대구	504	40772
북대전	318	23773
북부산	606	30533
북인천	122	110233
북전주	418	2862
분당	144	18364
삼성	120	181149
삼척	222	150167
상주	511	905260
서광주	410	60655
서대구	503	40798
서대문	110	11879
서대전	314	81197
서부산	603	30546
서산	316	602
서인천	137	111025
서초	214	180658
성남	129	130349
성동	206	11905
성북	209	11918
속초	227	150170
송파	215	180661
수영	617	30478
수원	124	130352
순천	416	920300
시흥	140	1588
신광주	233	23744
안동	508	910365
안산	134	131076
안양	123	130365
양천	117	12878
여수	417	920313
역삼	220	181822
대전청	300	80499
광주청	400	60707
대구청	500	40756
영덕	507	170189
영동	302	90311
영등포	107	11934
영월	225	150183
영주	512	910378
예산	311	930167
용산	106	11947
용인	142	2846
울산	610	160021
원주	224	100269
의정부	127	900142
이천	126	130378
익산	403	70425
인천	121	110259
잠실	230	19868
전주	402	70438
정읍	404	70441
제주	616	120171
제천	304	90324
종로	101	11976
중부	201	11989
중부산	602	30562
진주	613	950435
창원	609	140669
천안	312	935188
청주	301	90337
춘천	221	100272
충주	303	90340
통영	612	140708
파주	141	1575
평택	125	130381
포천	231	19871
포항	506	170192
해남	415	50157
홍성	310	930170
홍천	223	100285
화성	143	18351
부산청	600	30517
교육원	71	130776
연구소	73	11772
해운대	623	25470
기흥	236	26178
